,scores
157,17.47099960949272
158,18.393499588873237
159,18.286499591264874
160,18.45649958746508
161,18.162999594025315
162,18.607499584089965
163,18.433999587967993
164,17.729999603703618
165,18.7739995803684
166,17.558999607525767
167,18.395499588828535
168,18.383499589096754
169,18.387999588996173
170,18.63499958347529
171,18.422999588213862
172,18.028999597020448
173,18.812499579507858
174,18.732999581284822
175,18.382999589107932
176,18.240999592281877
177,17.032499619293958
178,18.037999596819283
179,18.364999589510262
180,18.664499582815914
181,18.457499587442726
182,18.860499578434975
183,18.54749958543107
184,18.839999578893185
185,18.5584995851852
186,18.601999584212898
187,17.94699959885329
188,17.3959996111691
189,18.35499958973378
190,17.749999603256583
191,17.356499612051994
192,17.91449959957972
193,17.752499603200704
194,17.959999598562717
195,18.278499591443687
196,18.324499590415506
197,18.21699959281832
198,17.936999599076806
199,17.948999598808587
200,17.01699961964041
201,17.91549959955737
202,18.289499591197817
203,18.02449959712103
204,18.6434995832853
205,17.387999611347915
206,18.366499589476735
207,18.429499588068573
208,18.555499585252257
209,18.309999590739608
210,18.229999592527747
211,17.904499599803238
212,18.356499589700253
213,18.114499595109372
214,17.978999598138035
215,17.930999599210917
216,16.606999628804623
217,17.222499615047127
218,18.000999597646295
219,18.21099959295243
220,17.54849960776046
221,17.3814996114932
222,17.77499960269779
223,17.476999609358607
224,18.148499594349413
225,17.64449960561469
226,18.058999596349896
227,18.25549959195778
228,18.664499582815914
229,17.2964996133931
230,18.244499592203645
231,17.931999599188565
232,18.170499593857677
233,17.87449960047379
234,17.72649960378185
235,18.91049957731739
236,18.128999594785274
237,17.731999603658913
238,18.47849958697334
239,17.747499603312463
240,17.71449960405007
241,17.960499598551543
242,17.975499598216267
243,17.537999607995154
244,17.893499600049108
245,17.44549961006269
246,17.314499612990765
247,17.28849961357191
248,18.376499589253218
249,18.005999597534537
250,18.08149959584698
251,17.736499603558332
252,18.730499581340702
253,18.143499594461172
254,18.65399958305061
255,17.967999598383905
256,18.159499594103544
257,18.195999593287706
258,18.10199959538877
259,18.367999589443208
260,18.092999595589937
261,18.123499594908207
262,17.740999603457748
263,17.57999960705638
264,17.614499606285243
265,17.399499611090867
266,17.511999608576296
267,17.300499613303693
268,17.978999598138035
269,17.143499616812914
270,17.957999598607422
271,17.57899960707873
272,17.90599959976971
273,17.755999603122472
274,17.521499608363957
275,17.574499607179312
276,17.55599960759282
277,18.471999587118624
278,18.267999591678382
279,18.719999581575394
280,17.77749960264191
281,18.522499585989863
282,17.148499616701155
283,17.407499610912055
284,17.882999600283803
285,18.235499592404814
286,17.890999600104987
287,17.656999605335294
288,18.38149958914146
289,18.438999587856234
290,18.086499595735223
291,18.519499586056916
292,17.999999597668648
293,18.156999594159423
294,18.41899958830327
295,18.274499591533093
296,18.000999597646295
297,18.24249959224835
298,18.584499584604053
299,17.93599959909916
